"ages" "AlphaTrue"
12 -8.37231432553753
13 -8.2037240835496
14 -8.05204018644582
15 -7.9181702483867
16 -7.8010480001723
17 -7.69895881350822
18 -7.61580739004292
19 -7.55171580732243
20 -7.49929550089872
21 -7.47166776796364
22 -7.4499297663858
23 -7.41821061833945
24 -7.38921505075648
25 -7.35038169734048
26 -7.29758036579494
27 -7.23776285203993
28 -7.17499077210383
29 -7.10780676072731
30 -7.03510359144166
31 -6.96146808846125
32 -6.88910019120106
33 -6.81488475540383
34 -6.73661745356584
35 -6.65549162673602
36 -6.57321797644932
37 -6.48996218635855
38 -6.40528842453718
39 -6.32000511915127
40 -6.23409805144525
41 -6.14732859355007
42 -6.06016855996152
43 -5.97257606720152
44 -5.88462752350471
45 -5.79523248888128
46 -5.70477888020794
47 -5.61613348484937
48 -5.53029090862109
49 -5.44576479323832
50 -5.36170047991536
51 -5.27869159832433
52 -5.19681656889431
53 -5.11444791897495
54 -5.03230451503317
55 -4.94941781624947
56 -4.86475174398945
57 -4.77930219962812
58 -4.69195856959956
59 -4.60207380895004
60 -4.51034259555793
61 -4.41766690010559
62 -4.32420866633591
63 -4.22961202489068
64 -4.13400222680065
65 -4.03806183499086
66 -3.94089309486903
67 -3.84118694614843
68 -3.73977096469465
69 -3.63760487949081
70 -3.5343373384269
71 -3.42979344788688
72 -3.3251976245948
73 -3.2208360454165
74 -3.11624846653172
75 -3.01153967363542
76 -2.90685373092270
77 -2.80185642469686
78 -2.69581475402158
79 -2.58918882191077
80 -2.48315565314686
81 -2.37757784430687
82 -2.27209765346394
83 -2.16756159764465
84 -2.06402490022782
85 -1.9612134993277
86 -1.85947998407405
87 -1.75747543268075
88 -1.65697716479833
89 -1.55892057357286
90 -1.46234335722110
91 -1.36944092463386
92 -1.28055287772577
93 -1.19473260843669
94 -1.11205959181921
95 -1.03246162572733
96 -0.955977288291804
97 -0.882612810680401
98 -0.812341631381127
