Spain, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 24/10/2018
Year    Age        Exposure
1922     12       232250.66
1922     13       225033.12
1922     14       230003.09
1922     15       219218.35
1922     16       223241.36
1922     17       217114.31
1922     18       214276.69
1922     19       217547.11
1922     20       204352.47
1922     21       206485.75
1922     22       205375.31
1922     23       171832.60
1922     24       179020.88
1922     25       179465.71
1922     26       185068.94
1922     27       178340.45
1922     28       164868.75
1922     29       165598.24
1922     30       152655.64
1922     31       176357.04
1922     32       170198.09
1922     33       133893.51
1922     34       141941.38
1922     35       135321.44
1922     36       142383.74
1922     37       141788.65
1922     38       125039.08
1922     39       124860.89
1922     40       121347.04
1922     41       162232.31
1922     42       155227.42
1922     43       110425.13
1922     44       115583.96
1922     45       113933.33
1922     46       127280.04
1922     47       123057.83
1922     48       105468.50
1922     49       105661.71
1922     50        99486.20
1922     51       135348.45
1922     52       129077.35
1922     53        82846.74
1922     54        85358.67
1922     55        84509.74
1923     12       233053.69
1923     13       231488.81
1923     14       223144.94
1923     15       229026.27
1923     16       218659.80
1923     17       222528.18
1923     18       216326.50
1923     19       212810.57
1923     20       215684.80
1923     21       202337.40
1923     22       205871.88
1923     23       204247.89
1923     24       168685.91
1923     25       176328.68
1923     26       176390.42
1923     27       181819.66
1923     28       176008.19
1923     29       162869.91
1923     30       163489.77
1923     31       151425.51
1923     32       175481.78
1923     33       168512.35
1923     34       132279.96
1923     35       140235.61
1923     36       133486.14
1923     37       141340.30
1923     38       140709.46
1923     39       123859.24
1923     40       123859.66
1923     41       120469.67
1923     42       160204.49
1923     43       152837.46
1923     44       108956.33
1923     45       113976.29
1923     46       112267.66
1923     47       125357.42
1923     48       121741.42
1923     49       104691.96
1923     50       104000.36
1923     51        97991.38
1923     52       133665.57
1923     53       127166.55
1923     54        81619.95
1923     55        84189.05
1924     12       229531.88
1924     13       232591.73
1924     14       230663.77
1924     15       221158.02
1924     16       228040.23
1924     17       218042.90
1924     18       221677.90
1924     19       215563.97
1924     20       211360.93
1924     21       213863.65
1924     22       200300.26
1924     23       205174.29
1924     24       203156.19
1924     25       165537.12
1924     26       173684.50
1924     27       173389.86
1924     28       178561.99
1924     29       173851.10
1924     30       160863.70
1924     31       161514.50
1924     32       150407.97
1924     33       174482.63
1924     34       166923.76
1924     35       130651.79
1924     36       138499.94
1924     37       131807.83
1924     38       140298.73
1924     39       139687.18
1924     40       122473.15
1924     41       122956.35
1924     42       119872.63
1924     43       158115.85
1924     44       150585.62
1924     45       107276.22
