country,variant,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
Japan,Lower 95,1.34,1.41,1.30,1.28,1.28,1.27,1.27,1.28,1.28,1.28,1.28,1.29,1.29,1.29,1.29,1.29,1.30,1.30,1.31
Japan,Lower 80,1.34,1.41,1.36,1.37,1.38,1.39,1.41,1.42,1.43,1.44,1.46,1.46,1.47,1.48,1.48,1.49,1.49,1.49,1.50
Japan,Median,1.34,1.41,1.48,1.53,1.58,1.62,1.65,1.68,1.70,1.71,1.73,1.74,1.75,1.76,1.77,1.78,1.78,1.79,1.79
Japan,Upper 80,1.34,1.41,1.60,1.70,1.77,1.83,1.87,1.90,1.93,1.95,1.97,1.99,2.00,2.01,2.03,2.04,2.04,2.05,2.06
Japan,Upper 95,1.34,1.41,1.66,1.79,1.87,1.94,1.98,2.02,2.06,2.08,2.10,2.12,2.14,2.16,2.17,2.18,2.19,2.20,2.21
USA,Lower 95,2.05,1.88,1.72,1.67,1.64,1.62,1.60,1.59,1.58,1.57,1.57,1.56,1.56,1.55,1.55,1.54,1.54,1.54,1.53
USA,Lower 80,2.05,1.88,1.78,1.75,1.73,1.72,1.71,1.71,1.70,1.70,1.70,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69
USA,Median,2.05,1.88,1.89,1.89,1.90,1.90,1.91,1.91,1.91,1.91,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
USA,Upper 80,2.05,1.88,2.00,2.04,2.07,2.08,2.10,2.11,2.12,2.12,2.13,2.13,2.14,2.14,2.14,2.15,2.15,2.15,2.15
USA,Upper 95,2.05,1.88,2.06,2.12,2.15,2.18,2.20,2.22,2.23,2.24,2.26,2.26,2.27,2.27,2.28,2.28,2.29,2.30,2.30
Italy,Lower 95,1.42,1.43,1.32,1.30,1.29,1.29,1.29,1.30,1.30,1.30,1.30,1.31,1.31,1.31,1.32,1.32,1.32,1.32,1.32
Italy,Lower 80,1.42,1.43,1.38,1.38,1.40,1.41,1.42,1.43,1.44,1.45,1.46,1.47,1.48,1.48,1.49,1.49,1.50,1.50,1.50
Italy,Median,1.42,1.43,1.49,1.54,1.58,1.62,1.65,1.67,1.69,1.71,1.73,1.74,1.75,1.76,1.77,1.77,1.78,1.78,1.79
Italy,Upper 80,1.42,1.43,1.61,1.70,1.77,1.82,1.86,1.90,1.92,1.95,1.96,1.98,1.99,2.01,2.02,2.03,2.04,2.04,2.05
Italy,Upper 95,1.42,1.43,1.67,1.78,1.86,1.93,1.97,2.01,2.05,2.07,2.09,2.11,2.13,2.15,2.16,2.18,2.19,2.19,2.20
France,Lower 95,1.98,1.98,1.80,1.74,1.70,1.67,1.65,1.63,1.62,1.61,1.60,1.59,1.59,1.58,1.57,1.57,1.57,1.56,1.56
France,Lower 80,1.98,1.98,1.86,1.82,1.79,1.77,1.76,1.75,1.74,1.73,1.73,1.72,1.72,1.71,1.71,1.71,1.71,1.70,1.70
France,Median,1.98,1.98,1.97,1.97,1.96,1.96,1.95,1.95,1.95,1.95,1.95,1.95,1.94,1.94,1.94,1.94,1.94,1.94,1.94
France,Upper 80,1.98,1.98,2.08,2.11,2.13,2.15,2.16,2.17,2.17,2.18,2.19,2.19,2.19,2.19,2.19,2.20,2.20,2.20,2.20
France,Upper 95,1.98,1.98,2.14,2.20,2.23,2.25,2.28,2.29,2.30,2.32,2.33,2.33,2.34,2.34,2.35,2.36,2.36,2.36,2.37
Spain,Lower 95,1.39,1.33,1.22,1.19,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.19,1.19,1.19,1.19,1.19,1.19
Spain,Lower 80,1.39,1.33,1.28,1.28,1.29,1.30,1.31,1.32,1.34,1.34,1.35,1.36,1.37,1.38,1.38,1.39,1.39,1.40,1.40
Spain,Median,1.39,1.33,1.39,1.44,1.48,1.52,1.55,1.58,1.61,1.63,1.64,1.66,1.67,1.68,1.69,1.70,1.71,1.72,1.72
Spain,Upper 80,1.39,1.33,1.51,1.60,1.68,1.73,1.78,1.82,1.85,1.88,1.90,1.92,1.94,1.95,1.97,1.98,1.99,2.00,2.01
Spain,Upper 95,1.39,1.33,1.57,1.69,1.78,1.84,1.89,1.94,1.97,2.01,2.03,2.05,2.08,2.09,2.11,2.12,2.14,2.15,2.16
