"1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006"
"12" 32880 32745 32620 32505 32401 32307 32224 32152 32092 32044 32016 32013 32034 32075 32136 32214 32306 32410 32525 32649 32791 32965 33165 33390 33636 33899 34176 34465 34760 35059 35357 35651 35936 36208 36464 36697 36905 37082 37224 37329 37399 37435 37435 37402 37335 37236 37104 36941 36748 36525 36274 35995 35689 35358 35004 34626 34227 33807 33374 32934 32486 32032 31572 31105 30632 30153 29668 29178 28683 28183 27679 27170 26658 26142 25623 25102 24578
"13" 32877 32747 32626 32515 32413 32321 32241 32171 32114 32068 32038 32025 32029 32049 32086 32139 32207 32292 32392 32508 32647 32818 33015 33237 33479 33739 34014 34300 34593 34889 35186 35479 35764 36037 36293 36528 36739 36919 37066 37181 37269 37330 37363 37368 37344 37291 37208 37095 36952 36779 36576 36342 36079 35785 35462 35110 34730 34321 33896 33467 33034 32596 32152 31703 31248 30788 30321 29848 29369 28884 28392 27894 27390 26880 26363 25841 25314
"14" 32850 32731 32619 32514 32417 32330 32254 32189 32136 32096 32067 32046 32035 32035 32049 32077 32122 32186 32270 32376 32510 32674 32865 33079 33315 33568 33835 34114 34400 34691 34983 35271 35553 35824 36081 36318 36532 36719 36874 37002 37110 37196 37260 37300 37316 37305 37266 37200 37104 36978 36821 36633 36412 36158 35872 35552 35199 34812 34406 33996 33581 33161 32734 32302 31863 31418 30966 30507 30040 29566 29085 28596 28100 27597 27086 26569 26045
"15" 32801 32697 32597 32501 32413 32332 32262 32203 32157 32126 32100 32074 32049 32030 32021 32025 32047 32089 32156 32252 32379 32534 32715 32920 33145 33387 33644 33912 34188 34470 34753 35035 35312 35579 35835 36074 36292 36487 36653 36796 36925 37037 37130 37203 37254 37282 37285 37261 37210 37128 37016 36872 36695 36483 36237 35954 35635 35279 34901 34515 34122 33722 33313 32897 32473 32040 31600 31151 30695 30230 29758 29278 28791 28296 27794 27285 26770
"16" 32728 32644 32559 32476 32397 32325 32263 32212 32175 32154 32135 32104 32068 32031 32000 31981 31978 31999 32049 32133 32251 32397 32567 32759 32971 33200 33444 33699 33963 34232 34505 34778 35048 35311 35564 35804 36027 36230 36409 36569 36719 36855 36976 37080 37165 37230 37271 37287 37277 37238 37170 37069 36935 36767 36562 36320 36040 35721 35376 35020 34652 34273 33883 33482 33071 32651 32221 31782 31334 30878 30413 29942 29463 28978 28487 27990 27488
"17" 32631 32570 32504 32436 32370 32308 32255 32214 32188 32180 32169 32135 32088 32034 31982 31940 31914 31913 31945 32018 32127 32262 32420 32599 32797 33011 33239 33479 33729 33985 34246 34508 34769 35026 35276 35517 35744 35955 36147 36325 36495 36655 36803 36936 37053 37152 37229 37284 37314 37316 37289 37232 37141 37016 36854 36655 36416 36137 35829 35504 35163 34806 34436 34051 33654 33246 32826 32396 31956 31508 31053 30590 30122 29647 29169 28686 28200
"18" 32510 32476 32431 32380 32328 32279 32237 32207 32194 32200 32198 32164 32107 32037 31965 31899 31851 31829 31844 31905 32005 32129 32274 32440 32622 32821 33034 33258 33493 33734 33982 34232 34484 34734 34980 35219 35450 35669 35873 36068 36258 36440 36614 36775 36923 37054 37167 37258 37327 37369 37384 37368 37320 37237 37118 36961 36764 36526 36255 35962 35649 35316 34966 34599 34217 33821 33412 32992 32563 32124 31678 31226 30768 30306 29841 29374 28905
"19" 32366 32360 32338 32307 32271 32236 32207 32190 32190 32213 32222 32188 32122 32037 31944 31857 31786 31744 31742 31792 31884 31997 32131 32282 32451 32634 32831 33040 33259 33486 33719 33958 34199 34441 34682 34919 35152 35377 35592 35802 36010 36214 36412 36601 36779 36943 37090 37218 37324 37406 37461 37486 37480 37439 37361 37244 37087 36886 36650 36389 36103 35794 35466 35118 34753 34372 33977 33571 33153 32726 32292 31851 31406 30957 30506 30054 29603
"20" 32197 32221 32225 32215 32197 32178 32164 32161 32176 32216 32237 32204 32130 32030 31918 31809 31717 31655 31637 31678 31763 31867 31990 32129 32284 32453 32635 32829 33033 33245 33465 33691 33922 34155 34390 34625 34857 35086 35309 35531 35756 35981 36202 36419 36626 36823 37005 37169 37314 37435 37530 37596 37630 37628 37589 37509 37386 37217 37011 36777 36518 36234 35928 35601 35257 34895 34519 34129 33728 33316 32897 32471 32040 31605 31168 30730 30293
"21" 32004 32060 32091 32103 32105 32103 32105 32118 32149 32206 32241 32209 32127 32013 31883 31753 31640 31559 31527 31560 31640 31737 31851 31980 32123 32280 32449 32629 32819 33018 33226 33440 33660 33884 34112 34341 34572 34802 35029 35261 35499 35743 35988 36231 36469 36699 36917 37120 37304 37465 37600 37706 37778 37813 37808 37759 37664 37518 37333 37122 36886 36626 36345 36043 35723 35386 35033 34666 34287 33897 33497 33089 32675 32255 31830 31403 30975
"22" 31787 31876 31934 31971 31993 32010 32029 32059 32107 32183 32230 32200 32111 31983 31835 31685 31553 31455 31411 31438 31515 31608 31715 31836 31971 32117 32276 32444 32623 32811 33007 33210 33419 33634 33854 34077 34302 34530 34757 34993 35243 35504 35772 36042 36312 36577 36833 37076 37301 37504 37679 37824 37933 38002 38026 38001 37923 37788 37613 37417 37200 36964 36709 36436 36145 35839 35517 35181 34831 34469 34094 33709 33314 32909 32496 32076 31649
