"years" "KappaTrue"
1930 62.0153209893817
1931 60.8146688346525
1932 59.5532345534685
1933 58.2331002460964
1934 56.8540661607635
1935 55.4268920614025
1936 53.9497845786913
1937 52.4027652131141
1938 50.8132751722969
1939 49.1582561506595
1940 47.5530029885906
1941 45.9938427209720
1942 44.2065958702190
1943 42.1758548774188
1944 40.0183472328498
1945 37.6119903983828
1946 35.0199297048432
1947 32.4440300518639
1948 29.4763737348911
1949 26.4632235203001
1950 23.5425939626546
1951 20.4058330443571
1952 17.7160765131918
1953 15.7932250795635
1954 14.1014389091376
1955 12.525589186353
1956 11.2081339193392
1957 9.91497827430737
1958 8.6783085415541
1959 7.52682248697765
1960 6.71926988901759
1961 6.22870849927897
1962 5.38727265712354
1963 4.27825553497359
1964 3.03550237065171
1965 1.34458636091750
1966 -0.612368285032387
1967 -2.68257261108016
1968 -4.71323766110802
1969 -6.95308987623583
1970 -9.44340416100886
1971 -11.7202142544475
1972 -13.9597648938059
1973 -16.0891005825328
1974 -17.7787479527281
1975 -19.2875174077015
1976 -20.6600679925806
1977 -21.8430631817203
1978 -22.904659382847
1979 -23.8322107260673
1980 -24.581510973537
1981 -25.3321180185143
1982 -26.0131953656434
1983 -26.6298502585223
1984 -27.3531926060419
1985 -28.0984228773636
1986 -28.7751504145815
1987 -29.2929845597896
1988 -29.4549525912258
1989 -29.3918627633509
1990 -29.5049958825935
1991 -29.4829984472097
1992 -29.5488555301457
1993 -29.9823805678440
1994 -30.4404029949234
1995 -31.1912354771109
1996 -32.3701097244869
1997 -33.7402012662797
1998 -35.2288716234527
1999 -36.92763568223
2000 -38.7929518849515
2001 -40.8365873528067
2002 -43.0606465422176
2003 -45.4385094528681
2004 -47.9840326654155
2005 -50.6998954965092
2006 -53.5887772627983
