country,variant,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
Japan,Lower 95,85.98,86.44,86.35,86.71,87.12,87.54,87.98,88.40,88.83,89.25,89.69,90.12,90.51,90.93,91.32,91.74,92.17,92.54,92.95
Japan,Lower 80,85.98,86.44,86.63,87.13,87.64,88.14,88.66,89.16,89.66,90.15,90.64,91.13,91.61,92.09,92.57,93.05,93.52,93.99,94.46
Japan,Median,85.98,86.44,87.18,87.89,88.56,89.24,89.89,90.54,91.17,91.80,92.42,93.02,93.63,94.20,94.80,95.40,95.98,96.56,97.14
Japan,Upper 80,85.98,86.44,87.73,88.67,89.53,90.34,91.12,91.88,92.64,93.36,94.09,94.80,95.50,96.22,96.90,97.57,98.25,98.92,99.60
Japan,Upper 95,85.98,86.44,88.01,89.08,90.04,90.91,91.77,92.57,93.40,94.19,94.98,95.75,96.48,97.21,97.96,98.70,99.41,100.11,100.80
USA,Lower 95,80.62,81.25,80.92,81.14,81.41,81.74,82.09,82.44,82.78,83.15,83.54,83.89,84.26,84.61,84.93,85.25,85.60,85.93,86.26
USA,Lower 80,80.62,81.25,81.26,81.62,82.02,82.44,82.88,83.31,83.75,84.18,84.61,85.04,85.44,85.85,86.27,86.70,87.09,87.49,87.89
USA,Median,80.62,81.25,81.88,82.50,83.11,83.71,84.29,84.86,85.42,85.99,86.54,87.09,87.64,88.17,88.72,89.27,89.79,90.32,90.87
USA,Upper 80,80.62,81.25,82.52,83.37,84.16,84.92,85.65,86.34,87.05,87.72,88.38,89.05,89.70,90.34,91.00,91.64,92.29,92.95,93.57
USA,Upper 95,80.62,81.25,82.84,83.82,84.70,85.54,86.35,87.11,87.85,88.60,89.31,90.04,90.73,91.50,92.18,92.91,93.61,94.28,94.97
Italy,Lower 95,84.06,84.66,84.52,84.84,85.20,85.64,86.04,86.48,86.87,87.27,87.72,88.14,88.55,88.91,89.36,89.74,90.16,90.54,90.94
Italy,Lower 80,84.06,84.66,84.81,85.27,85.74,86.23,86.75,87.23,87.71,88.19,88.68,89.16,89.65,90.14,90.61,91.07,91.53,92.00,92.47
Italy,Median,84.06,84.66,85.37,86.05,86.72,87.37,88.00,88.63,89.25,89.86,90.46,91.05,91.66,92.23,92.83,93.40,93.97,94.55,95.13
Italy,Upper 80,84.06,84.66,85.92,86.83,87.68,88.49,89.26,90.02,90.76,91.47,92.20,92.91,93.61,94.30,95.00,95.67,96.36,97.02,97.65
Italy,Upper 95,84.06,84.66,86.22,87.25,88.18,89.07,89.92,90.73,91.56,92.33,93.10,93.87,94.63,95.37,96.09,96.82,97.51,98.24,98.92
France,Lower 95,84.28,84.98,84.84,85.16,85.56,85.98,86.39,86.80,87.22,87.63,88.09,88.47,88.90,89.28,89.70,90.11,90.50,90.86,91.27
France,Lower 80,84.28,84.98,85.13,85.58,86.05,86.55,87.03,87.53,88.01,88.50,88.98,89.48,89.94,90.40,90.88,91.36,91.81,92.29,92.74
France,Median,84.28,84.98,85.68,86.35,87.01,87.65,88.29,88.91,89.52,90.14,90.73,91.34,91.93,92.52,93.10,93.69,94.28,94.85,95.43
France,Upper 80,84.28,84.98,86.22,87.13,87.97,88.77,89.53,90.27,91.00,91.74,92.43,93.14,93.85,94.53,95.22,95.89,96.54,97.24,97.90
France,Upper 95,84.28,84.98,86.52,87.55,88.48,89.35,90.21,91.01,91.83,92.60,93.35,94.12,94.86,95.57,96.32,97.03,97.77,98.45,99.15
Spain,Lower 95,84.34,85.32,85.21,85.56,85.96,86.40,86.79,87.22,87.67,88.10,88.53,88.96,89.36,89.78,90.18,90.58,91.02,91.36,91.81
Spain,Lower 80,84.34,85.32,85.49,85.96,86.47,86.98,87.48,87.99,88.48,88.99,89.47,89.96,90.43,90.94,91.41,91.87,92.35,92.82,93.29
Spain,Median,84.34,85.32,86.04,86.74,87.42,88.09,88.73,89.36,89.99,90.62,91.23,91.84,92.43,93.03,93.61,94.20,94.79,95.38,95.96
Spain,Upper 80,84.34,85.32,86.59,87.53,88.38,89.20,89.98,90.74,91.49,92.24,92.95,93.64,94.35,95.02,95.74,96.41,97.10,97.78,98.45
Spain,Upper 95,84.34,85.32,86.89,87.94,88.89,89.76,90.63,91.47,92.27,93.09,93.89,94.63,95.40,96.15,96.87,97.59,98.35,99.05,99.74
Sweden,Lower 95,83.07,83.74,83.54,83.82,84.14,84.50,84.87,85.25,85.62,86.00,86.35,86.70,87.07,87.43,87.80,88.13,88.47,88.83,89.24
Sweden,Lower 80,83.07,83.74,83.82,84.23,84.64,85.10,85.54,85.99,86.46,86.92,87.33,87.78,88.24,88.66,89.11,89.55,89.99,90.41,90.83
Sweden,Median,83.07,83.74,84.38,85.00,85.61,86.23,86.82,87.41,88.00,88.58,89.15,89.72,90.29,90.84,91.41,91.98,92.53,93.09,93.65
Sweden,Upper 80,83.07,83.74,84.93,85.79,86.59,87.36,88.10,88.83,89.55,90.27,90.94,91.62,92.29,92.98,93.65,94.29,94.98,95.63,96.27
Sweden,Upper 95,83.07,83.74,85.23,86.20,87.10,87.96,88.78,89.58,90.36,91.09,91.83,92.56,93.29,94.01,94.74,95.46,96.14,96.85,97.54
Denmark,Lower 95,80.77,82.16,81.88,82.14,82.46,82.80,83.17,83.56,83.92,84.30,84.68,85.07,85.39,85.74,86.13,86.46,86.79,87.17,87.53
Denmark,Lower 80,80.77,82.16,82.20,82.58,83.01,83.45,83.92,84.35,84.80,85.25,85.70,86.15,86.57,87.02,87.46,87.89,88.33,88.75,89.18
Denmark,Median,80.77,82.16,82.79,83.42,84.04,84.64,85.24,85.82,86.40,86.98,87.55,88.14,88.70,89.24,89.81,90.37,90.92,91.47,92.03
Denmark,Upper 80,80.77,82.16,83.39,84.25,85.04,85.80,86.54,87.25,87.95,88.64,89.33,90.02,90.70,91.39,92.04,92.69,93.36,94.03,94.68
Denmark,Upper 95,80.77,82.16,83.70,84.68,85.57,86.42,87.19,88.00,88.79,89.51,90.22,90.97,91.71,92.42,93.17,93.86,94.57,95.26,95.96
