country,variant,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
Japan,Lower 95,79.17,79.98,79.78,80.09,80.48,80.89,81.26,81.70,82.08,82.49,82.90,83.34,83.72,84.12,84.51,84.95,85.34,85.74,86.16
Japan,Lower 80,79.17,79.98,80.10,80.56,81.04,81.53,82.04,82.51,83.01,83.50,83.98,84.46,84.94,85.41,85.89,86.37,86.83,87.29,87.75
Japan,Median,79.17,79.98,80.73,81.43,82.10,82.78,83.43,84.07,84.71,85.35,85.96,86.56,87.15,87.75,88.34,88.92,89.50,90.08,90.67
Japan,Upper 80,79.17,79.98,81.35,82.31,83.19,84.03,84.83,85.58,86.35,87.09,87.85,88.57,89.28,89.99,90.70,91.39,92.07,92.74,93.43
Japan,Upper 95,79.17,79.98,81.67,82.76,83.76,84.68,85.56,86.38,87.22,88.06,88.85,89.62,90.41,91.18,91.88,92.66,93.40,94.07,94.80
USA,Lower 95,75.64,76.47,75.75,75.79,76.07,76.50,76.94,77.44,78.02,78.59,79.18,79.69,80.26,80.77,81.29,81.83,82.19,82.62,83.06
USA,Lower 80,75.64,76.47,76.44,76.86,77.40,77.98,78.64,79.31,80.01,80.71,81.34,82.00,82.60,83.14,83.62,84.08,84.52,84.91,85.28
USA,Median,75.64,76.47,77.34,78.24,79.14,80.05,80.99,81.91,82.76,83.49,84.15,84.72,85.28,85.82,86.36,86.87,87.39,87.93,88.44
USA,Upper 80,75.64,76.47,78.25,79.57,80.82,82.02,83.10,84.02,84.81,85.49,86.16,86.80,87.45,88.10,88.74,89.39,90.04,90.69,91.32
USA,Upper 95,75.64,76.47,78.88,80.45,81.82,83.04,84.14,84.99,85.73,86.46,87.20,87.90,88.59,89.32,89.97,90.65,91.37,92.11,92.74
Italy,Lower 95,78.78,79.87,79.59,80.04,80.63,81.16,81.60,82.08,82.46,82.86,83.29,83.70,84.15,84.52,84.95,85.35,85.74,86.13,86.53
Italy,Lower 80,78.78,79.87,80.21,80.93,81.57,82.08,82.58,83.07,83.53,84.00,84.49,84.94,85.41,85.90,86.35,86.83,87.29,87.73,88.18
Italy,Median,78.78,79.87,81.05,81.95,82.66,83.32,83.97,84.60,85.21,85.82,86.42,87.02,87.60,88.20,88.79,89.37,89.93,90.52,91.09
Italy,Upper 80,78.78,79.87,81.74,82.83,83.75,84.60,85.39,86.15,86.90,87.65,88.36,89.09,89.79,90.47,91.18,91.85,92.53,93.21,93.88
Italy,Upper 95,78.78,79.87,82.29,83.53,84.50,85.38,86.24,87.04,87.85,88.60,89.42,90.21,90.96,91.70,92.42,93.14,93.84,94.57,95.29
France,Lower 95,77.35,78.76,78.53,79.05,79.58,80.00,80.42,80.83,81.24,81.63,82.05,82.51,82.91,83.26,83.67,84.12,84.51,84.86,85.26
France,Lower 80,77.35,78.76,79.18,79.86,80.36,80.83,81.30,81.77,82.24,82.70,83.17,83.66,84.12,84.58,85.06,85.52,85.96,86.41,86.88
France,Median,77.35,78.76,79.90,80.69,81.39,82.05,82.68,83.31,83.93,84.54,85.14,85.73,86.32,86.91,87.50,88.08,88.66,89.24,89.81
France,Upper 80,77.35,78.76,80.48,81.55,82.45,83.31,84.11,84.87,85.61,86.36,87.08,87.80,88.49,89.17,89.87,90.55,91.23,91.90,92.57
France,Upper 95,77.35,78.76,81.05,82.22,83.22,84.12,84.98,85.78,86.61,87.36,88.14,88.95,89.70,90.42,91.17,91.86,92.57,93.30,94.01
Spain,Lower 95,78.06,79.63,79.55,80.06,80.44,80.82,81.22,81.63,82.03,82.46,82.88,83.27,83.70,84.13,84.53,84.92,85.34,85.76,86.12
Spain,Lower 80,78.06,79.63,80.07,80.56,81.02,81.51,81.99,82.49,82.97,83.45,83.93,84.42,84.89,85.37,85.83,86.30,86.78,87.25,87.70
Spain,Median,78.06,79.63,80.60,81.34,82.04,82.71,83.36,83.99,84.62,85.25,85.85,86.45,87.08,87.67,88.26,88.83,89.39,89.98,90.57
Spain,Upper 80,78.06,79.63,81.13,82.15,83.04,83.90,84.72,85.50,86.25,87.02,87.77,88.46,89.18,89.88,90.59,91.28,92.00,92.67,93.33
Spain,Upper 95,78.06,79.63,81.53,82.70,83.69,84.63,85.49,86.35,87.18,88.02,88.81,89.59,90.33,91.15,91.88,92.62,93.30,94.05,94.79
Sweden,Lower 95,79.00,80.00,79.55,79.80,80.25,80.80,81.36,81.84,82.35,82.75,83.19,83.63,84.04,84.42,84.78,85.18,85.50,85.88,86.27
Sweden,Lower 80,79.00,80.00,80.18,80.77,81.44,82.14,82.75,83.27,83.76,84.22,84.66,85.10,85.52,85.95,86.38,86.82,87.24,87.68,88.13
Sweden,Median,79.00,80.00,81.02,82.04,82.98,83.71,84.36,84.96,85.55,86.12,86.68,87.25,87.81,88.36,88.91,89.48,90.03,90.60,91.15
Sweden,Upper 80,79.00,80.00,81.85,83.18,84.18,85.03,85.79,86.52,87.23,87.96,88.64,89.31,89.98,90.67,91.33,91.99,92.64,93.30,93.98
Sweden,Upper 95,79.00,80.00,82.44,83.94,84.91,85.77,86.55,87.38,88.11,88.87,89.63,90.36,91.10,91.82,92.53,93.28,93.96,94.66,95.37
Denmark,Lower 95,76.37,78.10,77.41,77.59,77.88,78.33,78.83,79.39,79.90,80.53,81.11,81.66,82.20,82.65,83.08,83.52,83.96,84.38,84.74
Denmark,Lower 80,76.37,78.10,78.12,78.61,79.20,79.85,80.53,81.24,81.91,82.57,83.19,83.66,84.14,84.60,85.06,85.47,85.89,86.32,86.74
Denmark,Median,76.37,78.10,79.01,79.95,80.90,81.85,82.78,83.58,84.26,84.86,85.44,86.01,86.56,87.11,87.64,88.19,88.73,89.28,89.81
Denmark,Upper 80,76.37,78.10,79.88,81.23,82.50,83.63,84.50,85.26,85.96,86.64,87.33,88.02,88.69,89.36,90.01,90.67,91.34,91.96,92.64
Denmark,Upper 95,76.37,78.10,80.48,82.08,83.42,84.49,85.34,86.12,86.88,87.63,88.36,89.11,89.81,90.49,91.18,91.92,92.62,93.33,94.03
